team,g,mp,fg_pct,avg_dist,pct_fga_fg2a,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_fg3a,fg_pct_fg2a,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fga_dunk,fg_dunk,pct_fga_layup,fg_layup,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave
Atlanta Hawks,82,19905,.433,11.7,,.809,.303,.148,.153,.205,.191,,.456,.577,.371,.363,.409,.335,,.537,.845,,.045,289,,.232
Boston Celtics,82,19705,.443,13.0,,.751,.285,.126,.118,.222,.249,,.475,.608,.350,.394,.420,.346,,.524,.875,,.048,284,,.227
Chicago Bulls,82,19830,.414,12.4,,.814,.283,.130,.142,.259,.186,,.431,.537,.385,.349,.383,.342,,.614,.790,,.045,283,,.217
Cleveland Cavaliers,82,19855,.433,10.6,,.884,.318,.173,.196,.197,.116,,.448,.586,.355,.387,.368,.314,,.595,.879,,.051,322,,.220
Dallas Mavericks,82,19805,.459,12.1,,.799,.290,.159,.129,.219,.201,,.488,.619,.414,.428,.402,.348,,.548,.828,,.024,163,,.243
Denver Nuggets,82,19730,.443,11.3,,.854,.345,.111,.127,.272,.146,,.461,.597,.365,.377,.365,.336,,.574,.801,,.070,425,,.242
Detroit Pistons,82,19780,.435,10.7,,.847,.340,.153,.175,.179,.153,,.452,.566,.356,.393,.374,.344,,.592,.817,,.053,299,,.259
Golden State Warriors,82,19855,.442,11.9,,.803,.272,.196,.117,.218,.197,,.468,.654,.358,.346,.399,.334,,.526,.918,,.045,270,,.202
Houston Rockets,82,19930,.442,12.7,,.773,.268,.153,.141,.211,.227,,.464,.596,.383,.402,.398,.366,,.512,.854,,.054,289,,.203
Indiana Pacers,82,19805,.435,12.1,,.797,.288,.156,.157,.196,.203,,.457,.589,.366,.368,.407,.351,,.600,.871,,.052,301,,.215
Los Angeles Clippers,82,19805,.428,11.0,,.844,.341,.155,.130,.218,.156,,.448,.574,.398,.341,.351,.321,,.550,.866,,.046,283,,.263
Los Angeles Lakers,82,19855,.454,11.5,,.833,.326,.143,.126,.238,.167,,.479,.632,.392,.369,.379,.327,,.608,.901,,.054,333,,.250
Memphis Grizzlies,82,19880,.445,11.1,,.803,.342,.170,.101,.190,.197,,.471,.596,.393,.346,.381,.340,,.609,.857,,.065,384,,.252
Miami Heat,82,19755,.425,12.3,,.789,.297,.143,.117,.231,.211,,.443,.562,.394,.323,.382,.357,,.505,.889,,.038,211,,.232
Milwaukee Bucks,82,19780,.447,11.2,,.828,.320,.152,.176,.179,.172,,.467,.578,.424,.384,.385,.350,,.588,.903,,.054,325,,.245
Minnesota Timberwolves,82,19755,.462,13.0,,.863,.206,.147,.210,.301,.137,,.477,.620,.440,.431,.429,.363,,.591,.890,,.030,191,,.153
New Jersey Nets,82,19705,.441,11.9,,.824,.332,.111,.113,.268,.176,,.464,.609,.342,.357,.381,.336,,.687,.889,,.067,394,,.230
New Orleans Hornets,82,19830,.420,12.8,,.748,.294,.115,.131,.209,.252,,.454,.568,.363,.377,.391,.319,,.591,.738,,.044,263,,.229
New York Knicks,82,19880,.442,12.2,,.829,.259,.156,.177,.237,.171,,.459,.568,.419,.418,.395,.364,,.548,.835,,.022,134,,.213
Orlando Magic,82,19830,.429,12.8,,.816,.260,.138,.145,.273,.184,,.448,.551,.402,.395,.403,.344,,.504,.786,,.036,219,,.197
Philadelphia 76ers,82,19855,.428,11.3,,.842,.319,.132,.174,.216,.158,,.445,.562,.370,.360,.385,.342,,.567,.920,,.043,239,,.252
Phoenix Suns,82,19730,.443,11.4,,.820,.327,.137,.146,.210,.180,,.465,.587,.441,.350,.371,.345,,.482,.870,,.057,343,,.247
Portland Trail Blazers,82,19980,.448,11.5,,.830,.300,.171,.141,.218,.170,,.469,.597,.410,.415,.375,.346,,.571,.866,,.055,339,,.219
Sacramento Kings,82,19780,.462,13.0,,.777,.277,.128,.089,.284,.223,,.480,.636,.340,.383,.421,.401,,.653,.862,,.035,220,,.226
San Antonio Spurs,82,19755,.442,11.6,,.823,.282,.197,.144,.200,.177,,.460,.623,.373,.383,.371,.358,,.543,.868,,.039,228,,.234
Seattle SuperSonics,82,19805,.446,13.5,,.706,.245,.158,.121,.182,.294,,.476,.655,.377,.389,.380,.373,,.519,.876,,.052,305,,.179
Toronto Raptors,82,19980,.418,13.1,,.796,.252,.123,.155,.267,.204,,.434,.575,.398,.346,.368,.356,,.519,.944,,.041,238,,.177
Utah Jazz,82,19780,.436,11.5,,.873,.357,.085,.104,.327,.127,,.453,.555,.353,.357,.397,.321,,.598,.845,,.041,232,,.284
Washington Wizards,82,19830,.421,11.9,,.806,.290,.180,.123,.213,.194,,.440,.618,.317,.340,.358,.341,,.511,.808,,.053,325,,.225
